"Gene","Non-unique Gene name","Annotation","No. isolates","No. sequences","Avg sequences per isolate","Genome Fragment","Order within Fragment","Accessory Fragment","Accessory Order with Fragment","QC","Min group size nuc","Max group size nuc","Avg group size nuc","GCA_001614485.1_ASM161448v1_genomic","GCA_001683595.1_NGF2_genomic","GCA_001891695.1_ASM189169v1_genomic","GCA_001891995.1_ASM189199v1_genomic","GCA_001901445.1_ASM190144v1_genomic","GCA_001911775.1_ASM191177v1_genomic"
"acnB","","Aconitate hydratase B","6","6","1","63","2847","","","","2597","2597","2597","GCA_001614485_04230","GCA_001683595_02970","GCA_001891695_00263","GCA_001891995_03782","GCA_001901445_01959","GCA_001911775_01832"
"asnB","","Asparagine synthetase B [glutamine-hydrolyzing]","6","6","1","63","5852","","","","1664","1664","1664","GCA_001614485_02098","GCA_001683595_01949","GCA_001891695_04374","GCA_001891995_01823","GCA_001901445_02572","GCA_001911775_04334"
"treF","","Cytoplasmic trehalase","6","6","1","63","1463","","","","1649","1649","1649","GCA_001614485_02285","GCA_001683595_04198","GCA_001891695_00825","GCA_001891995_02680","GCA_001901445_00941","GCA_001911775_02999"
"yccM_2","","Putative electron transport protein YccM","6","6","1","63","6364","","","","863","863","863","GCA_001614485_04617","GCA_001683595_01130","GCA_001891695_03884","GCA_001891995_00187","GCA_001901445_04104","GCA_001911775_00846"
"ybhA","","Pyridoxal phosphate phosphatase YbhA","6","6","1","63","5950","","","","818","818","818","GCA_001614485_00243","GCA_001683595_02035","GCA_001891695_02776","GCA_001891995_03299","GCA_001901445_02663","GCA_001911775_00124"
"ppiD","","Peptidyl-prolyl cis-trans isomerase D","6","6","1","63","5281","","","","1871","1871","1871","GCA_001614485_01384","GCA_001683595_01762","GCA_001891695_03257","GCA_001891995_02842","GCA_001901445_02364","GCA_001911775_03646"
"ldcC","","Constitutive lysine decarboxylase","6","6","1","63","2934","","","","2141","2141","2141","GCA_001614485_00649","GCA_001683595_03037","GCA_001891695_00331","GCA_001891995_03849","GCA_001901445_02028","GCA_001911775_01902"
"group_6732","","hypothetical protein","6","6","1","63","3235","","","","413","413","413","GCA_001614485_03365","GCA_001683595_00793","GCA_001891695_02560","GCA_001891995_02569","GCA_001901445_03806","GCA_001911775_00045"
"aroC","","Chorismate synthase","6","6","1","63","4841","","","","1085","1085","1085","GCA_001614485_01983","GCA_001683595_01253","GCA_001891695_04002","GCA_001891995_00025","GCA_001901445_04217","GCA_001911775_01204"
"rcsC","","Sensor histidine kinase RcsC","6","6","1","63","6349","","","","2849","2849","2849","GCA_001614485_04602","GCA_001683595_01145","GCA_001891695_03899","GCA_001891995_00172","GCA_001901445_04119","GCA_001911775_00831"
"malK","","Maltose/maltodextrin import ATP-binding protein MalK","6","6","1","63","805","","","","1115","1115","1115","GCA_001614485_02023","GCA_001683595_02403","GCA_001891695_01288","GCA_001891995_02542","GCA_001901445_01490","GCA_001911775_02886"
"ttdA","","L( )-tartrate dehydratase subunit alpha","6","6","1","63","508","","","","911","911","911","GCA_001614485_03714","GCA_001683595_03996","GCA_001891695_02946","GCA_001891995_01289","GCA_001901445_00495","GCA_001911775_01430"
"fliM","","Flagellar motor switch protein FliM","6","6","1","63","4632","","","","1004","1004","1004","GCA_001614485_03346","GCA_001683595_00809","GCA_001891695_02577","GCA_001891995_02386","GCA_001901445_03822","GCA_001911775_02699"
"rimI","","Ribosomal-protein-alanine acetyltransferase","6","6","1","63","3572","","","","446","446","446","GCA_001614485_03204","GCA_001683595_02819","GCA_001891695_00116","GCA_001891995_03642","GCA_001901445_01816","GCA_001911775_03484"
"kdsD","","Arabinose 5-phosphate isomerase KdsD","6","6","1","63","373","","","","986","986","986","GCA_001614485_02226","GCA_001683595_04121","GCA_001891695_03082","GCA_001891995_00393","GCA_001901445_00637","GCA_001911775_03211"
"guaA","","GMP synthase [glutamine-hydrolyzing]","6","6","1","63","5041","","","","1076","1577","1493","GCA_001614485_03009","GCA_001683595_01392","GCA_001891695_01881","GCA_001891995_04679","GCA_001901445_04433","GCA_001911775_00195"
"artM_1","","Arginine ABC transporter permease protein ArtM","6","6","1","63","5710","","","","668","668","668","GCA_001614485_00166","GCA_001683595_02174","GCA_001891695_03630","GCA_001891995_02130","GCA_001901445_02809","GCA_001911775_01774"
"group_6741","","hypothetical protein","6","6","1","63","1360","","","","440","440","440","GCA_001614485_03967","GCA_001683595_04542","GCA_001891695_00751","GCA_001891995_04006","GCA_001901445_00867","GCA_001911775_00741"
"glk","","Glucokinase","6","6","1","63","5162","","","","965","965","965","GCA_001614485_04750","GCA_001683595_01295","GCA_001891695_04107","GCA_001891995_04566","GCA_001901445_04318","GCA_001911775_01252"
"alr","","Alanine racemase, biosynthetic","6","6","1","63","826","","","","1079","1079","1079","GCA_001614485_00218","GCA_001683595_02418","GCA_001891695_01269","GCA_001891995_02523","GCA_001901445_01510","GCA_001911775_02866"
"kbl","","2-amino-3-ketobutyrate coenzyme A ligase","6","6","1","63","1580","","","","1196","1196","1196","GCA_001614485_03534","GCA_001683595_04295","GCA_001891695_04290","GCA_001891995_00868","GCA_001901445_01054","GCA_001911775_04003"
"rluA","","Ribosomal large subunit pseudouridine synthase A","6","6","1","63","3478","","","","659","659","659","GCA_001614485_04188","GCA_001683595_02908","GCA_001891695_00204","GCA_001891995_03725","GCA_001901445_01902","GCA_001911775_03073"
"mlaD","","putative phospholipid ABC transporter-binding protein MlaD","6","6","1","63","377","","","","551","551","551","GCA_001614485_02222","GCA_001683595_04117","GCA_001891695_03078","GCA_001891995_00389","GCA_001901445_00633","GCA_001911775_03215"
"pgi","","Glucose-6-phosphate isomerase","6","6","1","63","794","","","","1649","1649","1649","GCA_001614485_02032","GCA_001683595_02393","GCA_001891695_01299","GCA_001891995_02553","GCA_001901445_01479","GCA_001911775_02896"
"mprA","","Transcriptional repressor MprA","6","6","1","63","171","","","","530","530","530","GCA_001614485_02921","GCA_001683595_03528","GCA_001891695_02092","GCA_001891995_00819","GCA_001901445_00060","GCA_001911775_04456"
"hyaA","","Hydrogenase-1 small chain","6","6","1","63","6063","","","","1118","1118","1118","GCA_001614485_02191","GCA_001683595_02281","GCA_001891695_03431","GCA_001891995_01980","GCA_001901445_02922","GCA_001911775_02171"
"aat","","Leucyl/phenylalanyl-tRNA--protein transferase","6","6","1","63","5742","","","","704","704","704","GCA_001614485_02768","GCA_001683595_02204","GCA_001891695_03654","GCA_001891995_02067","GCA_001901445_02833","GCA_001911775_01750"
"azoR","","FMN-dependent NADH-azoreductase","6","6","1","63","7207","","","","605","605","605","GCA_001614485_02643","GCA_001683595_03437","GCA_001891695_01376","GCA_001891995_02237","GCA_001901445_03313","GCA_001911775_03108"
"mltA","","Membrane-bound lytic murein transglycosylase A","6","6","1","63","8111","","","","1097","1097","1097","GCA_001614485_02281","GCA_001683595_03661","GCA_001891695_00421","GCA_001891995_00683","GCA_001901445_00190","GCA_001911775_02455"
"manY","","PTS system mannose-specific EIIC component","6","6","1","63","4000","","","","800","800","800","GCA_001614485_01060","GCA_001683595_00687","GCA_001891695_02436","GCA_001891995_01515","GCA_001901445_03697","GCA_001911775_02287"
"yejM","","Inner membrane protein YejM","6","6","1","63","6378","","","","1760","1760","1760","GCA_001614485_04631","GCA_001683595_01114","GCA_001891695_03870","GCA_001891995_00201","GCA_001901445_04090","GCA_001911775_00860"
"feoB","","Fe(2 ) transporter FeoB","6","6","1","63","1303","","","","2321","2321","2321","GCA_001614485_01023","GCA_001683595_04498","GCA_001891695_00712","GCA_001891995_04046","GCA_001901445_00826","GCA_001911775_00702"
"yidC","","Membrane protein insertase YidC","6","6","1","63","1002","","","","1646","1646","1646","GCA_001614485_04535","GCA_001683595_04385","GCA_001891695_01790","GCA_001891995_00985","GCA_001901445_01141","GCA_001911775_04092"
"mpl","","UDP-N-acetylmuramate--L-alanyl-gamma-D-glutamyl-meso-2,6-diaminoheptandioate ligase","6","6","1","63","4057","","","","1373","1373","1373","GCA_001614485_02966","GCA_001683595_02700","GCA_001891695_00952","GCA_001891995_03518","GCA_001901445_01697","GCA_001911775_02043"
"galE","","UDP-glucose 4-epimerase","6","6","1","63","5943","","","","1016","1016","1016","GCA_001614485_00274","GCA_001683595_02028","GCA_001891695_02769","GCA_001891995_03292","GCA_001901445_02656","GCA_001911775_00131"
"rlmM","","Ribosomal RNA large subunit methyltransferase M","6","6","1","63","8120","","","","1100","1100","1100","GCA_001614485_02273","GCA_001683595_03654","GCA_001891695_00414","GCA_001891995_00690","GCA_001901445_00183","GCA_001911775_02462"
"fryB_2","","PTS system fructose-like EIIB component 1","6","6","1","63","5163","","","","326","326","326","GCA_001614485_04749","GCA_001683595_01294","GCA_001891695_04106","GCA_001891995_04565","GCA_001901445_04317","GCA_001911775_01251"
"ompW","","Outer membrane protein W","6","6","1","63","7085","","","","638","638","638","GCA_001614485_02444","GCA_001683595_03338","GCA_001891695_01503","GCA_001891995_04418","GCA_001901445_03188","GCA_001911775_04172"
"napA","","Periplasmic nitrate reductase","6","6","1","63","6362","","","","2486","2486","2486","GCA_001614485_04615","GCA_001683595_01132","GCA_001891695_03886","GCA_001891995_00185","GCA_001901445_04106","GCA_001911775_00844"
"group_6767","flhA_1","Flagellar biosynthesis protein FlhA","6","6","1","63","3160","","","","2078","2078","2078","GCA_001614485_03444","GCA_001683595_00747","GCA_001891695_02513","GCA_001891995_01578","GCA_001901445_03760","GCA_001911775_00096"
"gltC_1","","HTH-type transcriptional regulator GltC","6","6","1","63","4755","","","","938","938","938","GCA_001614485_00294","GCA_001683595_01213","GCA_001891695_03962","GCA_001891995_00114","GCA_001901445_04177","GCA_001911775_01118"
"gpr_1","","L-glyceraldehyde 3-phosphate reductase","6","6","1","63","5256","","","","974","974","974","GCA_001614485_01215","GCA_001683595_01740","GCA_001891695_03279","GCA_001891995_02817","GCA_001901445_02339","GCA_001911775_03621"
"dnaN","","DNA polymerase III subunit beta","6","6","1","63","1006","","","","1100","1100","1100","GCA_001614485_04531","GCA_001683595_04381","GCA_001891695_01794","GCA_001891995_00981","GCA_001901445_01137","GCA_001911775_04088"
"pstA","","Phosphate transport system permease protein PstA","6","6","1","63","979","","","","890","890","890","GCA_001614485_04554","GCA_001683595_04404","GCA_001891695_01770","GCA_001891995_01005","GCA_001901445_01162","GCA_001911775_04111"
"yedI","","Inner membrane protein YedI","6","6","1","63","4619","","","","917","917","917","GCA_001614485_03333","GCA_001683595_00821","GCA_001891695_02589","GCA_001891995_02374","GCA_001901445_03834","GCA_001911775_02687"
"dsbA","","Thiol:disulfide interchange protein DsbA","6","6","1","63","8001","","","","626","626","626","GCA_001614485_03310","GCA_001683595_04625","GCA_001891695_04759","GCA_001891995_04884","GCA_001901445_01300","GCA_001911775_03295"
"bsmA","","Lipoprotein BsmA","6","6","1","63","3803","","","","329","329","329","GCA_001614485_02562","GCA_001683595_02653","GCA_001891695_00910","GCA_001891995_03471","GCA_001901445_01649","GCA_001911775_02092"
"group_6780","","tRNA-Lys(ttt)","6","6","1","63","5930","","","","75","75","75","GCA_001614485_01518","GCA_001683595_02017","GCA_001891695_02757","GCA_001891995_03280","GCA_001901445_02644","GCA_001911775_03771"
"group_6782","","tRNA-Lys(ttt)","6","6","1","63","5926","","","","75","75","75","GCA_001614485_01520","GCA_001683595_02015","GCA_001891695_02755","GCA_001891995_03278","GCA_001901445_02642","GCA_001911775_03773"
"group_6783","","tRNA-Lys(ttt)","6","6","1","63","5925","","","","75","75","75","GCA_001614485_01522","GCA_001683595_02013","GCA_001891695_02753","GCA_001891995_03276","GCA_001901445_02640","GCA_001911775_03775"
"group_6784","","tRNA-Lys(ttt)","6","6","1","63","5148","","","","75","75","75","GCA_001614485_03470","GCA_001683595_01309","GCA_001891695_04119","GCA_001891995_04578","GCA_001901445_04333","GCA_001911775_01268"
"uxaC","","Uronate isomerase","6","6","1","63","477","","","","1412","1412","1412","GCA_001614485_03161","GCA_001683595_04026","GCA_001891695_02976","GCA_001891995_01321","GCA_001901445_00525","GCA_001911775_01460"
"group_6787","","putative FAD-linked oxidoreductase","6","6","1","63","6764","","","","3056","3056","3056","GCA_001614485_01613","GCA_001683595_00564","GCA_001891695_02303","GCA_001891995_03195","GCA_001901445_03563","GCA_001911775_01569"
"dnaC","","DNA replication protein DnaC","6","6","1","63","3595","","","","737","737","737","GCA_001614485_03190","GCA_001683595_02806","GCA_001891695_00103","GCA_001891995_03629","GCA_001901445_01803","GCA_001911775_03462"
"mak","","Fructokinase","6","6","1","63","5232","","","","908","908","908","GCA_001614485_03636","GCA_001683595_01716","GCA_001891695_03303","GCA_001891995_02793","GCA_001901445_02315","GCA_001911775_03597"
"tsaR_1","","HTH-type transcriptional regulator TsaR","6","6","1","63","449","","","","938","938","938","GCA_001614485_03185","GCA_001683595_04049","GCA_001891695_03004","GCA_001891995_01349","GCA_001901445_00556","GCA_001911775_01488"
"adeQ","","Adenine permease AdeQ","6","6","1","63","1070","","","","1334","1334","1334","GCA_001614485_04499","GCA_001683595_04349","GCA_001891695_04724","GCA_001891995_00943","GCA_001901445_01100","GCA_001911775_04050"
"tyrP","","Tyrosine-specific transport protein","6","6","1","63","3185","","","","1211","1211","1211","GCA_001614485_03386","GCA_001683595_00772","GCA_001891695_02538","GCA_001891995_01603","GCA_001901445_03785","GCA_001911775_00071"
"mutS","","DNA mismatch repair protein MutS","6","6","1","63","229","","","","2561","2561","2561","GCA_001614485_03029","GCA_001683595_03580","GCA_001891695_02143","GCA_001891995_00768","GCA_001901445_00111","GCA_001911775_04488"
"mzrA_2","","Modulator protein MzrA","6","6","1","63","5245","","","","1814","1814","1814","GCA_001614485_03649","GCA_001683595_01729","GCA_001891695_03290","GCA_001891995_02806","GCA_001901445_02328","GCA_001911775_03610"
"relA","","GTP pyrophosphokinase","6","6","1","63","8147","","","","2234","2234","2234","GCA_001614485_02251","GCA_001683595_03632","GCA_001891695_00392","GCA_001891995_00712","GCA_001901445_00161","GCA_001911775_02485"
"yhjH","","Cyclic di-GMP phosphodiesterase YhjH","6","6","1","63","1469","","","","767","767","767","GCA_001614485_02291","GCA_001683595_04204","GCA_001891695_00831","GCA_001891995_02686","GCA_001901445_00947","GCA_001911775_03005"
"acrA","","Multidrug efflux pump subunit AcrA","6","6","1","63","5302","","","","1193","1193","1193","GCA_001614485_00799","GCA_001683595_01783","GCA_001891695_03236","GCA_001891995_02863","GCA_001901445_02385","GCA_001911775_03667"
"rseP","","Regulator of sigma-E protease RseP","6","6","1","63","2922","","","","1352","1352","1352","GCA_001614485_04289","GCA_001683595_03027","GCA_001891695_00321","GCA_001891995_03839","GCA_001901445_02018","GCA_001911775_01891"
"ycaO","","Ribosomal protein S12 methylthiotransferase accessory factor YcaO","6","6","1","63","6130","","","","1760","1760","1760","GCA_001614485_02786","GCA_001683595_02221","GCA_001891695_03364","GCA_001891995_02047","GCA_001901445_02853","GCA_001911775_01730"
"amiA","","N-acetylmuramoyl-L-alanine amidase AmiA","6","6","1","63","5117","","","","869","869","869","GCA_001614485_03501","GCA_001683595_01338","GCA_001891695_02001","GCA_001891995_04609","GCA_001901445_04364","GCA_001911775_01296"
"dmdA","","2,3-dimethylmalate dehydratase large subunit","6","6","1","63","5955","","","","2261","2261","2261","GCA_001614485_00949","GCA_001683595_02040","GCA_001891695_02781","GCA_001891995_03305","GCA_001901445_02668","GCA_001911775_00154"
"ispF","","2-C-methyl-D-erythritol 2,4-cyclodiphosphate synthase","6","6","1","63","249","","","","479","479","479","GCA_001614485_03046","GCA_001683595_03595","GCA_001891695_00353","GCA_001891995_00751","GCA_001901445_00128","GCA_001911775_04471"
"nuoE","","NADH-quinone oxidoreductase subunit E","6","6","1","63","4750","","","","500","500","500","GCA_001614485_00289","GCA_001683595_01208","GCA_001891695_03957","GCA_001891995_00119","GCA_001901445_04172","GCA_001911775_01113"
"hcaT","","putative 3-phenylpropionic acid transporter","6","6","1","63","4972","","","","1139","1139","1139","GCA_001614485_01653","GCA_001683595_01424","GCA_001891695_01852","GCA_001891995_04708","GCA_001901445_04462","GCA_001911775_00224"
"emrY","","putative multidrug resistance protein EmrY","6","6","1","63","5183","","","","1538","1538","1538","GCA_001614485_01106","GCA_001683595_01274","GCA_001891695_04086","GCA_001891995_04545","GCA_001901445_04297","GCA_001911775_01231"
"guaB","","Inosine-5'-monophosphate dehydrogenase","6","6","1","63","5003","","","","1466","1466","1466","GCA_001614485_03011","GCA_001683595_01393","GCA_001891695_01880","GCA_001891995_04680","GCA_001901445_04434","GCA_001911775_00196"
"clcA","","H( )/Cl(-) exchange transporter ClcA","6","6","1","63","2899","","","","1421","1421","1421","GCA_001614485_04268","GCA_001683595_03007","GCA_001891695_00300","GCA_001891995_03819","GCA_001901445_01998","GCA_001911775_01870"
"hslU","","ATP-dependent protease ATPase subunit HslU","6","6","1","63","6191","","","","1331","1331","1331","GCA_001614485_00876","GCA_001683595_04694","GCA_001891695_04835","GCA_001891995_04807","GCA_001901445_01379","GCA_001911775_03374"
"sufS","","Cysteine desulfurase","6","6","1","63","6771","","","","1220","1220","1220","GCA_001614485_01620","GCA_001683595_00557","GCA_001891695_02296","GCA_001891995_03188","GCA_001901445_03556","GCA_001911775_01576"
"hdeA","","Acid stress chaperone HdeA","6","6","1","63","1450","","","","332","332","332","GCA_001614485_01896","GCA_001683595_04612","GCA_001891695_00814","GCA_001891995_03943","GCA_001901445_00930","GCA_001911775_00813"
"cobB","","NAD-dependent protein deacylase","6","6","1","63","1946","","","","821","821","821","GCA_001614485_02420","GCA_001683595_03152","GCA_001891695_01617","GCA_001891995_04300","GCA_001901445_03069","GCA_001911775_01944"
"mdtB","","Multidrug resistance protein MdtB","6","6","1","63","6499","","","","3122","3122","3122","GCA_001614485_03799","GCA_001683595_01006","GCA_001891695_03762","GCA_001891995_00308","GCA_001901445_03935","GCA_001911775_00980"
"hiuH","","5-hydroxyisourate hydrolase","6","6","1","63","4609","","","","413","413","413","GCA_001614485_03324","GCA_001683595_00831","GCA_001891695_02599","GCA_001891995_02364","GCA_001901445_03844","GCA_001911775_02677"
"rutC","","Putative aminoacrylate peracid reductase RutC","6","6","1","63","6028","","","","386","386","386","GCA_001614485_00154","GCA_001683595_02310","GCA_001891695_01715","GCA_001891995_01942","GCA_001901445_02960","GCA_001911775_02133"
"recC","","RecBCD enzyme subunit RecC","6","6","1","63","7808","","","","3368","3368","3368","GCA_001614485_04092","GCA_001683595_03696","GCA_001891695_00459","GCA_001891995_00677","GCA_001901445_00232","GCA_001911775_02443"
"group_6819","","hypothetical protein","6","6","1","63","418","","","","635","635","635","GCA_001614485_01716","GCA_001683595_04076","GCA_001891695_03037","GCA_001891995_01382","GCA_001901445_00590","GCA_001911775_03256"
"mdaB","","Modulator of drug activity B","6","6","1","63","552","","","","581","581","581","GCA_001614485_03669","GCA_001683595_03956","GCA_001891695_02915","GCA_001891995_01258","GCA_001901445_00464","GCA_001911775_01399"
"group_6821","exbB_2","Biopolymer transport protein ExbB","6","6","1","63","577","","","","734","734","734","GCA_001614485_03652","GCA_001683595_03929","GCA_001891695_02897","GCA_001891995_01241","GCA_001901445_00446","GCA_001911775_01381"
"yjiY","","Inner membrane protein YjiY","6","6","1","63","3617","","","","2150","2150","2150","GCA_001614485_02348","GCA_001683595_02795","GCA_001891695_00095","GCA_001891995_03611","GCA_001901445_01785","GCA_001911775_03444"
"aroB","","3-dehydroquinate synthase","6","6","1","63","1281","","","","1088","1088","1088","GCA_001614485_01345","GCA_001683595_04478","GCA_001891695_00690","GCA_001891995_04068","GCA_001901445_00806","GCA_001911775_00682"
"cheB","","Chemotaxis response regulator protein-glutamate methylesterase","6","6","1","63","3164","","","","1049","1049","1049","GCA_001614485_03448","GCA_001683595_00751","GCA_001891695_02517","GCA_001891995_01582","GCA_001901445_03764","GCA_001911775_00092"
"betC","","Choline-sulfatase","6","6","1","63","6636","","","","1682","1682","1682","GCA_001614485_02590","GCA_001683595_00411","GCA_001891695_04184","GCA_001891995_00453","GCA_001901445_03400","GCA_001911775_00401"
"higA","","Antitoxin HigA","6","6","1","63","487","","","","416","416","416","GCA_001614485_03152","GCA_001683595_04017","GCA_001891695_02967","GCA_001891995_01311","GCA_001901445_00516","GCA_001911775_01451"
"gltC_3","","HTH-type transcriptional regulator GltC","6","6","1","63","7858","","","","839","839","839","GCA_001614485_03852","GCA_001683595_00071","GCA_001891695_05045","GCA_001891995_01796","GCA_001901445_01204","GCA_001911775_00457"
"group_6829","","tRNA-Ser(gga)","6","6","1","63","2416","","","","87","87","87","GCA_001614485_02806","GCA_001683595_03066","GCA_001891695_01703","GCA_001891995_04214","GCA_001901445_02983","GCA_001911775_02030"
"ygfA","","5-formyltetrahydrofolate cyclo-ligase","6","6","1","63","7734","","","","602","602","602","GCA_001614485_04049","GCA_001683595_03785","GCA_001891695_00560","GCA_001891995_00575","GCA_001901445_00335","GCA_001911775_03880"
"usg","","USG-1 protein","6","6","1","63","4786","","","","1013","1013","1013","GCA_001614485_01993","GCA_001683595_01243","GCA_001891695_03992","GCA_001891995_00084","GCA_001901445_04207","GCA_001911775_01148"
"accC","","Biotin carboxylase","6","6","1","63","1165","","","","1349","1349","1349","GCA_001614485_00662","GCA_001683595_04171","GCA_001891695_03135","GCA_001891995_02661","GCA_001901445_00689","GCA_001911775_03159"
"mqo","","Malate:quinone oxidoreductase","6","6","1","63","6357","","","","1646","1646","1646","GCA_001614485_04610","GCA_001683595_01137","GCA_001891695_03891","GCA_001891995_00180","GCA_001901445_04111","GCA_001911775_00839"
"group_6834","","hypothetical protein","6","6","1","63","1615","","","","617","617","617","GCA_001614485_03559","GCA_001683595_04321","GCA_001891695_05020","GCA_001891995_00922","GCA_001901445_01081","GCA_001911775_04029"
"aroF","","Phospho-2-dehydro-3-deoxyheptonate aldolase, Tyr-sensitive","6","6","1","63","105","","","","1070","1070","1070","GCA_001614485_02876","GCA_001683595_03482","GCA_001891695_02041","GCA_001891995_03919","GCA_001901445_00008","GCA_001911775_02721"
"hflK_2","","Modulator of FtsH protease HflK","6","6","1","63","5337","","","","917","917","917","GCA_001614485_01168","GCA_001683595_01813","GCA_001891695_03210","GCA_001891995_02889","GCA_001901445_02411","GCA_001911775_03693"
"eutL","","Ethanolamine utilization protein EutL","6","6","1","63","5113","","","","659","659","659","GCA_001614485_03505","GCA_001683595_01342","GCA_001891695_01997","GCA_001891995_04614","GCA_001901445_04368","GCA_001911775_01300"
"ebgC","","Evolved beta-galactosidase subunit beta","6","6","1","63","492","","","","449","449","449","GCA_001614485_03147","GCA_001683595_04012","GCA_001891695_02962","GCA_001891995_01305","GCA_001901445_00511","GCA_001911775_01446"
"dacC","","D-alanyl-D-alanine carboxypeptidase DacC","6","6","1","63","5662","","","","1202","1202","1202","GCA_001614485_01322","GCA_001683595_02107","GCA_001891695_02852","GCA_001891995_02149","GCA_001901445_02739","GCA_001911775_01796"
"rho","","Transcription termination factor Rho","6","6","1","63","7874","","","","1259","1259","1259","GCA_001614485_03867","GCA_001683595_00086","GCA_001891695_02647","GCA_001891995_01780","GCA_001901445_01220","GCA_001911775_00474"
"ribA","","GTP cyclohydrolase-2","6","6","1","63","7106","","","","590","590","590","GCA_001614485_04385","GCA_001683595_03360","GCA_001891695_01478","GCA_001891995_04439","GCA_001901445_03210","GCA_001911775_04194"
"ghxP","","Guanine/hypoxanthine permease GhxP","6","6","1","63","847","","","","1349","1349","1349","GCA_001614485_02727","GCA_001683595_02438","GCA_001891695_01257","GCA_001891995_02511","GCA_001901445_01524","GCA_001911775_02853"
"metG","","Methionine--tRNA ligase","6","6","1","63","6461","","","","2033","2033","2033","GCA_001614485_02159","GCA_001683595_01039","GCA_001891695_03795","GCA_001891995_00275","GCA_001901445_04016","GCA_001911775_00940"
"group_6846","","tRNA-Leu(tag)","6","6","1","63","5850","","","","84","84","84","GCA_001614485_02101","GCA_001683595_01947","GCA_001891695_04376","GCA_001891995_01825","GCA_001901445_02570","GCA_001911775_04336"
"pldB","","Lysophospholipase L2","6","6","1","63","8038","","","","1022","1022","1022","GCA_001614485_03913","GCA_001683595_00132","GCA_001891695_02690","GCA_001891995_01730","GCA_001901445_01269","GCA_001911775_00521"
"pckA","","Phosphoenolpyruvate carboxykinase (ATP)","6","6","1","63","1297","","","","1622","1622","1622","GCA_001614485_01359","GCA_001683595_04492","GCA_001891695_00704","GCA_001891995_04054","GCA_001901445_00820","GCA_001911775_00696"
"yehU","","Sensor histidine kinase YehU","6","6","1","63","6446","","","","1685","1685","1685","GCA_001614485_04700","GCA_001683595_01051","GCA_001891695_03806","GCA_001891995_00264","GCA_001901445_04027","GCA_001911775_00929"
"pitA_2","","Low-affinity inorganic phosphate transporter 1","6","6","1","63","1419","","","","1499","1499","1499","GCA_001614485_03924","GCA_001683595_04589","GCA_001891695_00795","GCA_001891995_03962","GCA_001901445_00911","GCA_001911775_00794"
"yjcH","","Inner membrane protein YjcH","6","6","1","63","854","","","","314","314","314","GCA_001614485_02730","GCA_001683595_02444","GCA_001891695_01253","GCA_001891995_02507","GCA_001901445_01528","GCA_001911775_02849"
"mgsA","","Methylglyoxal synthase","6","6","1","63","6072","","","","458","458","458","GCA_001614485_02200","GCA_001683595_02272","GCA_001891695_03422","GCA_001891995_01989","GCA_001901445_02913","GCA_001911775_02180"
"rutR","","HTH-type transcriptional regulator RutR","6","6","1","63","6025","","","","638","638","638","GCA_001614485_00157","GCA_001683595_02313","GCA_001891695_01712","GCA_001891995_01939","GCA_001901445_02963","GCA_001911775_02130"
"cydA","","Cytochrome bd-I ubiquinol oxidase subunit 1","6","6","1","63","5914","","","","1568","1568","1568","GCA_001614485_01533","GCA_001683595_02002","GCA_001891695_02742","GCA_001891995_03265","GCA_001901445_02629","GCA_001911775_03786"
"rbsA_4","","Ribose import ATP-binding protein RbsA","6","6","1","63","7847","","","","1505","1505","1505","GCA_001614485_04581","GCA_001683595_04427","GCA_001891695_01743","GCA_001891995_01032","GCA_001901445_01192","GCA_001911775_04138"
"tcdA","","tRNA threonylcarbamoyladenosine dehydratase","6","6","1","63","8112","","","","806","806","806","GCA_001614485_02279","GCA_001683595_03660","GCA_001891695_00420","GCA_001891995_00684","GCA_001901445_00189","GCA_001911775_02456"
"lolE","","Lipoprotein-releasing system transmembrane protein LolE","6","6","1","63","1948","","","","1238","1238","1238","GCA_001614485_02418","GCA_001683595_03150","GCA_001891695_01619","GCA_001891995_04298","GCA_001901445_03067","GCA_001911775_01946"
"slyA","","Transcriptional regulator SlyA","6","6","1","63","6809","","","","434","434","434","GCA_001614485_03735","GCA_001683595_00519","GCA_001891695_02257","GCA_001891995_03149","GCA_001901445_03517","GCA_001911775_01615"
"bamD","","Outer membrane protein assembly factor BamD","6","6","1","63","99","","","","737","737","737","GCA_001614485_02870","GCA_001683595_03478","GCA_001891695_02037","GCA_001891995_03923","GCA_001901445_00004","GCA_001911775_02717"
"group_6861","","hypothetical protein","6","6","1","63","2909","","","","386","386","386","GCA_001614485_04277","GCA_001683595_03015","GCA_001891695_00308","GCA_001891995_03827","GCA_001901445_02006","GCA_001911775_01879"
"group_6862","","hypothetical protein","6","6","1","63","1269","","","","1304","1304","1304","GCA_001614485_01702","GCA_001683595_04466","GCA_001891695_00678","GCA_001891995_04080","GCA_001901445_00794","GCA_001911775_00670"
"tdcC","","Threonine/serine transporter TdcC","6","6","1","63","451","","","","1331","1331","1331","GCA_001614485_03183","GCA_001683595_04047","GCA_001891695_03002","GCA_001891995_01347","GCA_001901445_00554","GCA_001911775_01486"
"argE_1","","Acetylornithine deacetylase","6","6","1","63","7775","","","","1211","1211","1211","GCA_001614485_04125","GCA_001683595_03747","GCA_001891695_00521","GCA_001891995_00615","GCA_001901445_00296","GCA_001911775_03841"
